filename,width,height,class,xmin,ymin,xmax,ymax
cd3f103efedba923c26a5ff92bae1273.jpg,416,416,e,83,93,130,124
cd3f103efedba923c26a5ff92bae1273.jpg,416,416,e,144,85,190,116
cd3f103efedba923c26a5ff92bae1273.jpg,416,416,c,204,77,251,108
cd3f103efedba923c26a5ff92bae1273.jpg,416,416,s,262,72,309,102
cd3f103efedba923c26a5ff92bae1273.jpg,416,416,b,93,131,145,165
cd3f103efedba923c26a5ff92bae1273.jpg,416,416,h,156,122,205,155
cd3f103efedba923c26a5ff92bae1273.jpg,416,416,a,220,116,264,147
cd3f103efedba923c26a5ff92bae1273.jpg,416,416,s,276,107,325,138
cd3f103efedba923c26a5ff92bae1273.jpg,416,416,e,106,175,154,210
cd3f103efedba923c26a5ff92bae1273.jpg,416,416,l,173,166,222,200
cd3f103efedba923c26a5ff92bae1273.jpg,416,416,o,230,157,279,194
cd3f103efedba923c26a5ff92bae1273.jpg,416,416,t,296,147,346,181
cd3f103efedba923c26a5ff92bae1273.jpg,416,416,i,118,218,169,255
cd3f103efedba923c26a5ff92bae1273.jpg,416,416,l,178,208,230,248
cd3f103efedba923c26a5ff92bae1273.jpg,416,416,x,248,202,297,239
cd3f103efedba923c26a5ff92bae1273.jpg,416,416,e,314,191,367,230
cbd1ebb0af18b4c5f6f47ec38570343e.jpg,416,416,h,292,220,341,273
cbd1ebb0af18b4c5f6f47ec38570343e.jpg,416,416,r,212,232,269,293
cbd1ebb0af18b4c5f6f47ec38570343e.jpg,416,416,a,142,242,196,308
cbd1ebb0af18b4c5f6f47ec38570343e.jpg,416,416,i,60,258,110,305
cbd1ebb0af18b4c5f6f47ec38570343e.jpg,416,416,u,278,151,323,204
cbd1ebb0af18b4c5f6f47ec38570343e.jpg,416,416,r,212,162,257,219
cbd1ebb0af18b4c5f6f47ec38570343e.jpg,416,416,l,133,174,185,225
cbd1ebb0af18b4c5f6f47ec38570343e.jpg,416,416,h,63,171,110,233
cbd1ebb0af18b4c5f6f47ec38570343e.jpg,416,416,a,261,81,309,136
cbd1ebb0af18b4c5f6f47ec38570343e.jpg,416,416,j,192,97,239,140
cbd1ebb0af18b4c5f6f47ec38570343e.jpg,416,416,t,135,108,172,152
cbd1ebb0af18b4c5f6f47ec38570343e.jpg,416,416,g,67,106,112,161
cbd1ebb0af18b4c5f6f47ec38570343e.jpg,416,416,l,250,27,290,75
cbd1ebb0af18b4c5f6f47ec38570343e.jpg,416,416,g,190,38,227,84
cbd1ebb0af18b4c5f6f47ec38570343e.jpg,416,416,e,131,45,172,88
cbd1ebb0af18b4c5f6f47ec38570343e.jpg,416,416,i,68,44,112,88
d6d8a6f9a44ccdb5a1aef23f94891bc4.jpg,416,416,a,214,154,243,173
d6d8a6f9a44ccdb5a1aef23f94891bc4.jpg,416,416,t,175,161,207,181
d6d8a6f9a44ccdb5a1aef23f94891bc4.jpg,416,416,h,134,167,167,188
d6d8a6f9a44ccdb5a1aef23f94891bc4.jpg,416,416,o,88,176,122,197
d6d8a6f9a44ccdb5a1aef23f94891bc4.jpg,416,416,s,223,178,257,199
d6d8a6f9a44ccdb5a1aef23f94891bc4.jpg,416,416,w,184,185,218,208
d6d8a6f9a44ccdb5a1aef23f94891bc4.jpg,416,416,r,140,193,176,216
d6d8a6f9a44ccdb5a1aef23f94891bc4.jpg,416,416,o,96,201,134,224
d6d8a6f9a44ccdb5a1aef23f94891bc4.jpg,416,416,m,100,229,138,255
